Fruit2022,FormF2022,RetailCostPer Pound/PintF2022,Vegetable2022,FormV2022,RetailCostPer Pound/PintV2022,Fruit2020,FormF2020,RetailCostPer Pound/PintF2020,Vegetable2020,FormV2020,RetailCostPer Pound/PintV2020,Fruit2016,FormF2016,RetailCostPer Pound/PintF2016,Vegetable2016,FormV2016,RetailCostPer Pound/PintV2016,Fruit2013,FormF2013,RetailCostPer Pound/PintF2013,Vegetable2013,FormV2013,RetailCostPer Pound/PintV2013
Clementines,Fresh,1.5811,Brussels sprouts,Frozen,2.5949,Clementines,Fresh,1.3847,Brussels sprouts,Frozen,2.6214,Clementines,Fresh,,Brussels sprouts,Frozen,2.04,Clementines,Fresh,,Brussels sprouts,Frozen,2.14
Cranberries,Dried,5.0828,Butternut squash,Fresh,1.2691,Cranberries,Dried,4.6513,Butternut squash,Fresh,1.2325,Cranberries,Dried,4.69,Butternut squash,Fresh,1.29,Cranberries,Dried,4.79,Butternut squash,Fresh,1.24
Dates,Dried,5.7499,"Cabbage, green",Fresh,0.797,Dates,Dried,5.5713,"Cabbage, green",Fresh,0.7025,Dates,Dried,5.51,"Cabbage, green",Fresh,0.62,Dates,Dried,4.79,"Cabbage, green",Fresh,0.58
Figs,Dried,7.3233,"Cabbage, red",Fresh,1.2604,Figs,Dried,6.8371,"Cabbage, red",Fresh,1.0985,Figs,Dried,6.13,"Cabbage, red",Fresh,1.02,Figs,Dried,5.75,"Cabbage, red",Fresh,1.06
"Fruit cocktail, packed in juice",Canned,2.394,"Cabbage, sauerkraut",Canned,1.478,"Fruit cocktail, packed in juice",Canned,1.7198,"Cabbage, sauerkraut",Canned,1.2823,"Fruit cocktail, packed in juice",Canned,1.41,"Cabbage, sauerkraut",Canned,1.15,"Fruit cocktail, packed in juice",Canned,1.49,"Cabbage, sauerkraut",Canned,1.26
"Fruit cocktail, packed in syrup or water",Canned,2.0996,"Carrots, cooked whole",Fresh,0.9761,"Fruit cocktail, packed in syrup or water",Canned,1.5932,"Carrots, cooked whole",Fresh,0.8703,"Fruit cocktail, packed in syrup or water",Canned,1.26,"Carrots, cooked whole",Fresh,0.77,"Fruit cocktail, packed in syrup or water",Canned,1.24,"Carrots, cooked whole",Fresh,0.74
Grapefruit,Fresh,1.4444,"Carrots, raw whole",Fresh,0.9761,Grapefruit,Fresh,1.1695,"Carrots, raw whole",Fresh,0.8703,Grapefruit,Fresh,1.01,"Carrots, raw whole",Fresh,0.77,Grapefruit,Fresh,0.9,"Carrots, raw whole",Fresh,0.74
Grapefruit,Frozen,,"Carrots, baby",Fresh,1.3507,Grapefruit,Frozen,,"Carrots, baby",Fresh,1.2716,Grapefruit,Frozen,,"Carrots, baby",Fresh,1.44,Grapefruit,Frozen,0.82,"Carrots, baby",Fresh,1.45
"Grapefruit, ready-to-drink",Juice,1.1935,Carrots,Canned,1.1979,"Grapefruit, ready-to-drink",Juice,1.0415,Carrots,Canned,1.1315,"Grapefruit, ready-to-drink",Juice,0.85,Carrots,Canned,0.92,"Grapefruit, ready-to-drink",Juice,0.67,Carrots,Canned,1.06
Grapes,Fresh,2.0363,Carrots,Frozen,1.7277,Grapes,Fresh,1.8398,Carrots,Frozen,1.6763,Grapes,Fresh,2.24,Carrots,Frozen,1.4,Grapes,Fresh,2.09,Carrots,Frozen,1.46
